ID,Name,Company,Version,Plugin Name,Plugin Type,Instrument Type,Synthesis Type,Gentle/ Aggressive,Acoustic/Electronic,Vintage/Modern,Quiet/Loud,Warm/Clean,Dark/Bright,Static/Dynamic,Thin/Thick,Low/Mid/High,Slow/Fast,Single/Split,One_Shot/Sequential,Atonal/Tonal,Monophonic/Polyphonic,특징
72,PD D_Pad 1 [DU],Xfer,,Serum,VST,Pads,,Gentle,Electronic,Vintage,Quiet,Warm,Dark,Static,Thick,Mid,Fast,Single,One_Shot,,,
73,PD D-Pad 2 [DU],Xfer,,Serum,VST,Pads,,Gentle,Electronic,Vintage,Quiet,Warm,Dark,Static,Thin,Mid,Fast,Single,One_Shot,,,
74,PD Emotional More[KG],Xfer,,Serum,VST,Pads,,Aggressive,Electronic,Modern,Loud,Clean,Bright,Dynamic,Thin,Mid,Slow,Single,One_Shot,,,
75,PD Epic Bandpass Pad [JL],Xfer,,Serum,VST,Pads,,Aggressive,Electronic,Modern,Loud,Warm,Dark,Dynamic,Thick,Mid,Slow,Single,One_Shot,,,
76,PL Beepy ting [GI],Xfer,,Serum,VST,Plucked,,Aggressive,Electronic,Modern,Quiet,Clean,Bright,Static,Thick,Mid,,Single,One_Shot,,,
77,PL Big Bells [AS],Xfer,,Serum,VST,Plucked,,Gentle,Acoustic,Vintage,Quiet,Warm,Dark,Static,Thick,Low,,Single,One_Shot,,,
78,PL Cliche d00t [GI],Xfer,,Serum,VST,Plucked,,Gentle,Acoustic,Vintage,Quiet,Warm,Dark,Dynamic,Thick,Low,,Single,One_Shot,,,
79,PL Crushed Pluck [AS],Xfer,,Serum,VST,Plucked,,Gentle,Acoustic,Vintage,Quiet,Warm,Bright,Static,Thick,Mid,,Single,One_Shot,,,
80,PL Crusty Pluck [LCV],Xfer,,Serum,VST,Plucked,,Gentle,Acoustic,Vintage,Quiet,Clean,Bright,Static,Thick,High,,Single,One_Shot,,,
81,PL Downed [7S],Xfer,,Serum,VST,Plucked,,Aggressive,Electronic,Modern,Loud,Clean,Bright,Static,Thick,Mid,Fast,Single,One_Shot,Tonal,,
82,PL Downpitcher [FN],Xfer,,Serum,VST,Plucked,,Gentle,Electronic,Modern,Quiet,Warm,Bright,Static,Thick,Mid,Fast,Single,One_Shot,Tonal,,
83,PL Dreamy NuDisco [SW],Xfer,,Serum,VST,Plucked,,Gentle,Electronic,Modern,Quiet,Clean,Bright,Static,Thick,Mid,Fast,Single,One_Shot,Tonal,,
84,PL Dyk Pyk [PL],Xfer,,Serum,VST,Plucked,,Gentle,Electronic,Vintage,Quiet,Warm,Dark,Static,Thin,Mid,Fast,Single,One_Shot,Tonal,,moog type sound
85,PL FMmy [SD],Xfer,,Serum,VST,Plucked,,Gentle,Acoustic,Modern,Quiet,Clean,Bright,Static,Thin,Mid,Fast,Single,One_Shot,,,
86,PL Mallety [SD],Xfer,,Serum,VST,Plucked,,Gentle,Acoustic,Modern,Quiet,Warm,Dark,Static,Thin,Low,Fast,Single,One_Shot,,,
87,PL Metachord [FP],Xfer,,Serum,VST,Plucked,,Gentle,Acoustic,Modern,Quiet,Clean,Bright,Static,Thin,Mid,Fast,Single,One_Shot,,,
88,PL Metallica [FN],Xfer,,Serum,VST,Plucked,,Aggressive,Electronic,Vintage,Loud,Warm,Bright,Static,Thick,Low,Fast,Single,One_Shot,,,
89,PL Modern Drop 1 [DRK],Xfer,,Serum,VST,Plucked,,Gentle,Electronic,Modern,Quiet,Warm,Dark,Static,Thick,Mid,Fast,Single,One_Shot,,,
90,SQ 2notes [GS],Xfer,,Serum,VST,Seq,,Gentle,Acoustic,Modern,Quiet,Warm,Bright,Static,Thick,Mid,Fast,Single,Sequential,,,
91,SQ 303Tails [7S],Xfer,,Serum,VST,Seq,,Aggressive,Electronic,Modern,Loud,Warm,Dark,Dynamic,Thick,Low,Fast,Single,Sequential,,,
92,SQ Acid Time [FN],Xfer,,Serum,VST,Seq,,Aggressive,Electronic,Modern,Loud,Warm,Bright,Dynamic,Thick,Low,Fast,Single,Sequential,,,
93,SQ AKS On The Run [ASL],Xfer,,Serum,VST,Seq,,Gentle,Electronic,Vintage,Quiet,Warm,Dark,Dynamic,Thick,Low,Fast,Single,Sequential,,,
94,SQ Anxiety Loop [AF],Xfer,,Serum,VST,Seq,,Gentle,Acoustic,Vintage,Quiet,Warm,Bright,Dynamic,Thin,Mid,Slow,Single,Sequential,,,
95,SQ Automator 1 [GS],Xfer,,Serum,VST,Seq,,Aggressive,Electronic,Modern,Loud,Clean,Bright,Static or Dynamic,Thick,Mid,Fast,Single,Sequential,Tonal,Monophonic,
96,SQ Automator 2 [GS],Xfer,,Serum,VST,Seq,,Gentle,Electronic,Modern,Quiet,Warm,Bright,Static,Thick,Mid,Fast,Single,Sequential,Tonal,Monophonic,Pulse wave type
97,SQ Automator 3 [GS],Xfer,,Serum,VST,Seq,,Gentle,Acoustic,Vintage,Quiet,Warm,Dark,Static or Dynamic,Thin,Low,Fast,Single,Sequential,Tonal,Monophonic,"R&B EP type, DJ scratch"
98,SQ Automator 4 [GS],Xfer,,Serum,VST,Seq,,Gentle,Electronic,Modern,Quiet,Warm,Dark,Static,Thick,Mid,Fast,Single,Sequential,Tonal,Monophonic,Pulse wave type
99,SQ Automator 5 [GS],Xfer,,Serum,VST,Seq,,Aggressive,Electronic,Modern,Loud,Warm,Dark,Static,Thick,Mid,Fast,Single,Sequential,Tonal,Monophonic,
100,SQ Automator 6 [GS],Xfer,,Serum,VST,Seq,,Aggressive,Electronic,Modern,Loud,Warm,Bright,Dynamic,Thin,High,Fast,Single,Sequential,,,
101,SQ Bass Pitfire [7S],Xfer,,Serum,VST,Seq,,Aggressive,Electronic,Modern,Loud,Warm,Dark,Dynamic,Thick,Mid,Fast,Single,Sequential,,,
102,SQ Bass Riser [FN],Xfer,,Serum,VST,Seq,,Aggressive,Electronic,Modern,Loud,Warm,Dark,Dynamic,Thick,Low,Fast,Single,Sequential,,,
103,SQ BassCrackin [BS],Xfer,,Serum,VST,Seq,,Aggressive,Electronic,Modern,Loud,Warm,Dark,Dynamic,Thick,Low,Fast,Single,Sequential,,,
104,SQ Bendy Hi Jack [IM],Xfer,,Serum,VST,Seq,,Gentle,Electronic,Modern,Quiet,Warm,Bright,Dynamic,Thick,Low,Fast,Single,Sequential,,,
105,SY AnalogBrass [SD],Xfer,,Serum,VST,Synth,,Gentle,Electronic,Vintage,Quiet,Warm,Bright,Static,Thick,Mid,Slow,Single,One_Shot,,,
106,SY AnalogString [SD],Xfer,,Serum,VST,Synth,,Gentle,Electronic,Vintage,Quiet,Warm,Dark,Static,Thick,Mid,Slow,Single,One_Shot,,,
107,SY Angry Organ {KG],Xfer,,Serum,VST,Synth,,Aggressive,Electronic,Vintage,Quiet,Warm,Dark,Static or Dynamic,Thick,Low,Slow,Single,One_Shot,,,
108,SY Arcader [FP],Xfer,,Serum,VST,Synth,,Gentle,Electronic,Vintage,Quiet,Warm,Bright,Static,Thin,Mid,Fast,Single,One_Shot,,,
